,gain,neutral,loss
A1BG,42,44,22
A1BG-AS1,42,44,22
A1CF,18,52,38
A2M,61,41,6
A2M-AS1,60,42,6
A2ML1,60,42,6
A2MP1,61,41,6
A3GALT2,15,62,31
A4GALT,47,45,16
A4GNT,79,24,5
AA06,42,49,17
AAAS,38,61,9
AACS,24,68,16
AACSP1,6,29,73
AADAC,91,16,1
AADACL2,91,16,1
AADACL2-AS1,93,15,0
AADACL3,13,54,41
AADACL4,13,54,41
AADACP1,91,16,1
AADAT,4,38,66
AAED1,20,34,54
AAGAB,23,61,24
AAK1,65,42,1
AAMDC,31,58,19
AAMP,20,62,26
AANAT,59,45,4
AAR2,57,41,10
AARD,72,33,3
AARS,24,50,34
AARS2,42,51,15
AARSD1,45,52,11
AASDH,22,46,40
AASDHPPT,19,58,31
AASS,40,54,14
AATBC,7,52,49
AATF,42,51,15
AATK,67,33,8
AATK-AS1,64,37,7
ABALON,71,36,1
ABAT,21,64,23
ABCA1,19,36,53
ABCA10,60,41,7
ABCA11P,11,36,61
ABCA12,21,59,28
ABCA13,52,38,18
ABCA17P,17,63,28
ABCA2,33,37,38
ABCA3,17,63,28
ABCA4,4,56,48
ABCA5,60,42,6
ABCA6,59,42,7
ABCA7,31,48,29
ABCA8,57,45,6
ABCA9,59,42,7
ABCA9-AS1,58,44,6
ABCB1,54,50,4
ABCB10,51,47,10
ABCB11,40,61,7
ABCB4,54,50,4
ABCB5,53,39,16
ABCB6,20,59,29
ABCB7,6,18,84
ABCB8,37,54,17
ABCB9,24,70,14
ABCC1,23,62,23
ABCC10,42,52,14
ABCC11,17,52,39
ABCC12,17,52,39
ABCC13,20,48,40
ABCC2,5,57,46
ABCC3,49,53,6
ABCC4,13,36,59
ABCC5,98,9,1
ABCC5-AS1,98,9,1
ABCC6,23,62,23
ABCC6P1,23,62,23
ABCC6P2,23,62,23
ABCC8,24,51,33
ABCC9,66,37,5
ABCD1,9,16,83
ABCD2,40,61,7
ABCD3,3,55,50
